date,-,stock,-,index,*beta,ASR,profit,,,
"2016-11-09,三",6.1,0.031147541,3128.37,0.013716408,0.016152868,0.014994673,0.031147541,,,
"2016-11-10,四",6.29,0.036565978,3171.28,0.007807573,0.00919444,0.027371538,0.036565978,,,
"2016-11-11,五",6.52,0.056748466,3196.04,0.004483674,0.005280113,0.051468353,0.056748466,,,
"2016-11-14,一",6.89,-0.020319303,3210.37,-0.001052838,-0.001239855,-0.019079448,-0.020319303,,,
"2016-11-15,二",6.75,-0.004444444,3206.99,-0.00060181,-0.000708711,-0.003735734,-0.004444444,,,
"2016-11-16,三",6.72,0.019345238,3205.06,0.001057703,0.001245583,0.018099655,0.019345238,,,
"2016-11-17,四",6.85,-0.018978102,3208.45,-0.004859044,-0.005722161,-0.013255941,-0.018978102,,,
"2016-11-18,五",6.72,-0.004464286,3192.86,0.007920798,0.009327778,-0.013792063,-0.004464286,,,
"2016-11-21,一",6.69,0.007473842,3218.15,0.009384274,0.011051211,-0.00357737,0.007473842,,,
"2016-11-22,二",6.74,-0.017804154,3248.35,-0.002219588,-0.002613856,-0.015190298,-0.017804154,,,
"2016-11-23,三",6.62,-0.010574018,3241.14,0.00018512,0.000218003,-0.010792021,-0.010574018,,,
"2016-11-24,四",6.55,0.009160305,3241.74,0.006231222,0.00733808,0.001822226,0.009160305,,,
"2016-11-25,五",6.61,0.02269289,3261.94,0.004616884,0.005436986,0.017255903,0.02269289,,,
"2016-11-28,一",6.76,0.00295858,3277,0.00180653,0.002127426,0.000831154,0.00295858,,,
"2016-11-29,二",6.78,-0.039823009,3282.92,-0.01001852,-0.01179812,-0.028024889,-0.039823009,,,
"2016-11-30,三",6.51,-0.007680492,3250.03,0.007163011,0.008435384,-0.016115875,-0.007680492,,,
"2016-12-01,四",6.46,-0.009287926,3273.31,-0.009003119,-0.010602352,0.001314427,-0.009287926,,,
"2016-12-02,五",6.4,-0.0265625,3243.84,-0.012062864,-0.014205602,-0.012356898,-0.0265625,,,
"2016-12-05,一",6.23,0.004815409,3204.71,-0.001578926,-0.001859392,0.006674802,0.004815409,,,
"2016-12-06,二",6.26,0.025559105,3199.65,0.007060147,0.008314248,0.017244857,0.025559105,,,
"2016-12-07,三",6.42,0.037383178,3222.24,-0.002132057,-0.002510777,0.039893954,0.037383178,,,
"2016-12-08,四",6.66,-0.006006006,3215.37,0.005445719,0.006413047,-0.012419053,-0.006006006,,,
"2016-12-09,五",6.62,-0.036253776,3232.88,-0.024717899,-0.029108564,-0.007145213,-0.036253776,,,
"2016-12-12,一",6.38,0.009404389,3152.97,0.000656524,0.000773143,0.008631246,0.009404389,,,
"2016-12-13,二",6.44,0.004658385,3155.04,-0.004598991,-0.005415914,0.010074299,0.004658385,,,
"2016-12-14,三",6.47,0.00309119,3140.53,-0.007275842,-0.008568257,0.011659447,0.00309119,,,
"2016-12-15,四",6.49,-0.016949153,3117.68,0.001699982,0.002001952,-0.018951104,-0.016949153,,,
"2016-12-16,五",6.38,-0.023510972,3122.98,-0.001569014,-0.00184772,-0.021663252,-0.023510972,,,
"2016-12-19,一",6.23,-0.001605136,3118.08,-0.004874795,-0.005740709,0.004135573,-0.001605136,,,
"2016-12-20,二",6.22,0.012861736,3102.88,0.011134817,0.013112705,-0.000250969,0.012861736,,,
"2016-12-21,三",6.3,-0.007936508,3137.43,0.0006789,0.000799493,-0.008736001,-0.007936508,,,
"2016-12-22,四",6.25,-0.0208,3139.56,-0.009367555,-0.011031523,-0.009768477,-0.0208,,,
"2016-12-23,五",6.12,0.014705882,3110.15,0.003993377,0.004702724,0.010003158,0.014705882,,,
"2016-12-26,一",6.21,-0.004830918,3122.57,-0.00253317,-0.002983139,-0.001847779,-0.004830918,,,
"2016-12-27,二",6.18,-0.01618123,3114.66,-0.003987594,-0.004695914,-0.011485315,-0.01618123,,,
"2016-12-28,三",6.08,0,3102.24,-0.001979215,-0.002330785,0.002330785,0,,,
"2016-12-29,四",6.08,0.003289474,3096.1,0.002435322,0.002867911,0.000421563,0.003289474,,,
"2016-12-30,五",6.1,0.02295082,3103.64,0.010400691,0.012248176,0.010702644,0.02295082,,,
"2017-01-03,二",6.24,0.009615385,3135.92,0.007292916,0.008588364,0.001027021,0.009615385,,,
"2017-01-04,三",6.3,0.046031746,3158.79,0.002095739,0.002468007,0.043563739,0.046031746,,,
"2017-01-05,四",6.59,-0.010622155,3165.41,-0.003503496,-0.004125825,-0.00649633,-0.010622155,,,
"2017-01-06,五",6.52,0.033742331,3154.32,0.005364072,0.006316898,0.027425434,0.033742331,,,
"2017-01-09,一",6.74,-0.013353116,3171.24,-0.003017747,-0.003553792,-0.009799323,-0.013353116,,,
"2017-01-10,二",6.65,-0.02556391,3161.67,-0.007881911,-0.009281982,-0.016281928,-0.02556391,,,
"2017-01-11,三",6.48,-0.007716049,3136.75,-0.005566271,-0.006555013,-0.001161036,-0.007716049,,,
"2017-01-12,四",6.43,0.01088647,3119.29,-0.002093425,-0.002465282,0.013351752,0.01088647,,,
"2017-01-13,五",6.5,0,3112.76,-0.00299734,-0.00352976,0.00352976,0,,,
"2017-01-16,一",6.5,0.026153846,3103.43,0.001720677,0.002026322,0.024127524,0.026153846,,,
"2017-01-17,二",6.67,-0.00149925,3108.77,0.001363883,0.001606151,-0.003105402,-0.00149925,,,
"2017-01-18,三",6.66,-0.010510511,3113.01,-0.003761633,-0.004429815,-0.006080695,-0.010510511,,,
"2017-01-19,四",6.59,0.007587253,3101.3,0.007042208,0.008293123,-0.000705869,0.007587253,,,
